AgentID AgentLiquidity AgentPurposeCategory AgentStrategyType RiskAppetite ProActivity IntelligenceGap OwnTokenID DoB DoD
1 1865.716371365328 Speculator noisy 0.6622168188296521 0.4939453385051165 0 0 1 14
2 1667.6332424016127 Speculator noisy 0.5491944076609235 0.5757379760510699 0 0 1 11
3 2338.826153171234 Speculator noisy 0.5611957173757786 0.48790686167841385 0 0 2 15
4 5434.189432932807 Utilizer charty 0.4637691852194906 0.3806861258126767 0 0 1 28
5 11388.217389030187 Investor fundy 0.19340070205115742 0.1150587145153031 0.20503338761001108 0 2 49
6 9509.692799804796 Investor fundy 0.25353671660442667 0.19510657909965015 0.2559506493561474 0 1 51
7 2183.76113650881 Speculator charty 0.35315154625690054 0.42598145002200033 0 0 2 15
8 8261.106790305195 Investor fundy 0.1805077394732419 0.20860216156503344 0.2039146101712247 0 2 50
9 4570.229687769041 Utilizer charty 0.48124593269131144 0.3598457806019264 0 0 1 32
10 10880.468193536997 Investor fundy 0.1741049793989562 0.07243108828110219 0.199600726779189 0 2 48
11 8573.389914823132 Investor fundy 0.1807992132572406 0.15983796262210687 0.08904132655473006 0 1 47
12 10777.077091652547 Investor fundy 0.19123755702250175 0.09004847710812802 0.21308156065343453 0 2 51
13 9975.719428587712 Investor fundy 0.22713437718587762 0.14437577891568354 0.20288980432190182 0 2 50
14 4576.582434010996 Utilizer charty 0.3685967918007796 0.23158058314277025 0 0 2 27
15 1774.0431279472937 Speculator noisy 0.618752164978444 0.4753927230743078 0 0 2 12
16 4827.146884077353 Utilizer charty 0.34290356638114444 0.3431874704585434 0 0 1 24
17 2352.936475169318 Speculator charty 0.4079132355912589 0.4194361679849247 0 0 2 15
18 7839.312537902164 Investor fundy 0.18609183055792278 0.14808396948460073 0.11694496621737725 0 2 46
19 4606.59746528164 Utilizer charty 0.35066636435015436 0.25550286752530016 0 0 2 24
20 0 Creator none 0 0 0 1 1 63
21 4803.353107265137 Utilizer fundy 0.19037453190698117 0.1262310438797926 0.25416950127544685 0 2 26
22 1942.1380252036 Speculator noisy 0.5837392447187985 0.5394641367659859 0 0 2 17
23 0 Creator none 0 0 0 2 1 69
24 4724.908687081733 Utilizer charty 0.36574058039792473 0.2573136614434197 0 0 2 23
25 2284.4160324204922 Speculator noisy 0.654298710381627 0.6556707774068733 0 0 1 12
26 2127.1421697153783 Speculator noisy 0.42067189729870236 0.4300824064088553 0 0 1 12
27 1947.5683959269581 Speculator noisy 0.7646721180000606 0.5244426178997342 0 0 2 16
28 2246.926693499161 Speculator noisy 0.6318457305710893 0.684042180578819 0 0 1 12
29 11314.725585417877 Investor fundy 0.2326474331540408 0.11530266337036475 0.23565620314022506 0 2 50
30 4487.478652445885 Utilizer charty 0.40122187522516395 0.23040322206674674 0 0 1 27
31 1612.2415702241951 Speculator fundy 0.19798315868511548 0.14704610691399128 0.21885864345757305 0 2 11
32 6154.065908042368 Utilizer charty 0.39096133686642864 0.3009794512580928 0 0 1 31
33 10262.495759254809 Investor fundy 0.2175918450480054 0.15765241777283467 0.274834014181993 0 2 45
34 4270.794682970064 Utilizer charty 0.38842741081181786 0.44658640793930493 0 0 1 24
35 9283.705462084607 Investor fundy 0.1845651058872543 0.07025201664748189 0.11843114821244706 0 1 45
36 8951.897681170383 Investor fundy 0.20313930603938116 0.17241654299642106 0.22351032553429048 0 1 47
37 2399.4557991104098 Speculator noisy 0.5670251788833537 0.4406871554956946 0 0 2 15
38 1791.2392812587802 Speculator noisy 0.6195438265821871 0.5218545564472936 0 0 1 12
39 4731.560407592414 Utilizer charty 0.3686086376054436 0.4651175917149271 0 0 2 21
40 2178.198141268498 Speculator noisy 0.5033894877235976 0.3584242573190263 0 0 1 14
41 2159.9740359295943 Speculator charty 0.4041594077849466 0.29116577824583534 0 0 1 13
42 0 Creator none 0 0 0 3 1 76
43 2282.316352237097 Speculator charty 0.2805956217916964 0.3210871494460013 0 0 2 13
44 5245.892874403865 Utilizer charty 0.3613188916751056 0.37013386609144827 0 0 1 20
45 8529.296755077035 Investor fundy 0.17631533853865888 0.14370024464952563 0.2564523923674224 0 1 51
46 5100.887802073032 Utilizer charty 0.40378289574730547 0.2699232820266717 0 0 1 28
47 1499.7363164413168 Speculator noisy 0.4559836994178669 0.4793824239240331 0 0 1 8
